# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
diao qu 	调取	c=2 d=1 t=23720
diao shui 	吊水	c=1 d=1 t=29657
diao tou 	掉头	c=1 d=1 t=343484
diao tou 	调头	c=1 d=1 t=343486
diao xian 	掉线	c=1 d=1 t=24915
diao yan 	调研	c=27 d=1 t=327621
diao yao 	掉要	c=1 d=1 t=302924
diao yong 	调用	c=244 d=0.440432 t=345520
diao yong duan 	调用端	c=3 d=1 t=189727
diao yong fang 	调用方	c=1 d=1 t=116688
diao zai 	掉在	c=1 d=1 t=48669
diao zhuan 	掉转	c=1 d=1 t=202955
die 	叠	c=0 d=0.1 t=326435
die 	爹	c=5 d=1 t=328311
die 	碟	c=0 d=0.1 t=105290
die 	跌	c=4 d=1.91851 t=272679
die dai 	迭代	c=35 d=1 t=274664
die dai hou 	迭代后	c=1 d=1 t=34510
die jia 	叠加	c=8 d=1 t=314837
die jia 	跌价	c=2 d=1 t=85560
die jie 	爹接	c=1 d=1 t=93717
die xing shi jie 	碟形世界	c=1 d=1 t=105291
ding 	丁	c=7 d=1 t=335899
ding 	叮	c=2 d=1 t=201399
ding 	定	c=107 d=1.99005 t=345463
ding 	盯	c=12 d=1 t=312032
ding 	订	c=10 d=1 t=337278
ding 	顶	c=7 d=1 t=175866
ding bu 	顶部	c=4 d=1 t=325699
ding ceng 	顶层	c=7 d=1 t=156120
ding cheng 	定成	c=1 d=1 t=212785
ding dan 	订单	c=393 d=1.00022 t=342426
ding dan hao 	订单号	c=8 d=1 t=246027
ding ding 	盯盯	c=15 d=1.56655 t=331019
ding ding 	钉钉	c=16 d=1 t=340356
ding e 	定额	c=1 d=1 t=275125
ding ge 	定格	c=1 d=1 t=31949
ding gou 	订购	c=4 d=0.207008 t=345520
ding hao 	订好	c=1 d=1 t=115013
ding ji 	顶级	c=8 d=1.9802 t=252259
ding jia 	定价	c=3 d=1 t=314798
ding le 	订了	c=1 d=1 t=51339
ding li 	丁莉	c=1 d=1 t=7025
ding liang 	定量	c=1 d=1 t=342089
ding lv 	定律	c=5 d=1 t=303844
ding qi 	定期	c=31 d=0.000243596 t=345520
ding qian 	定前	c=1 d=1 t=207177
ding shang 	订上	c=1 d=1 t=328181
ding shang 	顶上	c=2 d=1 t=340598
ding shi 	定事	c=1 d=1 t=153922
ding shi 	定时	c=28 d=1 t=334057
ding shi qi 	定时器	c=2 d=1 t=175695
ding ti 	顶替	c=0 d=0.1 t=37047
ding tou 	定投	c=1 d=1 t=272673
ding wei 	定位	c=43 d=1 t=339985
ding xi gu er yuan 	定西孤儿院	c=4 d=1 t=180141
ding xia lai 	定下来	c=1 d=1 t=215206
ding xiang 	定向	c=2 d=1.96561 t=38597
ding xing 	定性	c=7 d=1 t=342099
ding xing zhi biao 	定性指标	c=1 d=1 t=154106
ding yi 	定义	c=269 d=0.0212181 t=345520
ding yi cheng 	定义成	c=1 d=1 t=185411
ding yi de 	定义的	c=2 d=1 t=344621
ding ying 	定应	c=2 d=1 t=329730
ding yu 	定于	c=3 d=1 t=344500
ding yu 	定语	c=1 d=1 t=272452
ding yue 	订阅	c=16 d=1 t=327714
ding zai 	定在	c=8 d=1 t=338920
ding zhe 	盯着	c=3 d=1 t=327499
ding zheng 	订正	c=2 d=1.72253 t=60074
ding zhi 	定制	c=30 d=1 t=327072
ding zhi jian 	定制件	c=3 d=2.65206 t=196318
ding zhi xing 	定制性	c=1 d=1 t=306923
ding zhu 	叮嘱	c=1 d=1 t=109657
ding zi 	钉子	c=5 d=4.63939 t=292070
diu 	丢	c=32 d=1 t=326828
diu dao 	丢到	c=2 d=1 t=255711
diu di 	丢第	c=1 d=1 t=42056
diu diao 	丢掉	c=4 d=1.99005 t=284705
diu diu 	丢丢	c=0 d=0.1 t=226159
diu fen 	丢分	c=1 d=1 t=197368
diu qi 	丢弃	c=3 d=1 t=284711
diu shi 	丢失	c=34 d=1 t=341159
diu shi le 	丢失了	c=1 d=1 t=246155
dong 	东	c=5 d=1 t=321549
dong 	冬	c=2 d=1 t=336036
dong 	冻	c=4 d=1 t=261398
dong 	动	c=29 d=0.00249906 t=345520
dong 	懂	c=21 d=1 t=341752
dong 	栋	c=5 d=1 t=259794
dong 	洞	c=2 d=1 t=220943
dong bei 	东北	c=2 d=1.99005 t=313568
dong bu dong 	动不动	c=1 d=1 t=138477
dong bu dong 	懂不懂	c=1 d=1 t=272642
dong cha 	洞察	c=1 d=1 t=154127
dong che 	动车	c=3 d=1.81873 t=177644
dong ci 	动词	c=4 d=1.956 t=325414
dong dang 	动荡	c=1 d=1 t=22470
dong dao 	动到	c=1 d=1 t=245222
dong dong 	东东	c=1 d=0.00299743 t=345520
dong dong 	咚咚	c=1 d=1 t=205615
dong feng 	东风	c=1 d=1.07749 t=39427
dong feng xi tong 	东风系统	c=1 d=1 t=39377
dong gao gao 	东搞搞	c=1 d=1 t=131106
dong gua 	冬瓜	c=0 d=0.1 t=92229
dong gua ding 	冬瓜丁	c=1 d=1 t=92230
dong hua 	东华	c=1 d=1 t=51812
dong hua pian 	动画片	c=2 d=1.92312 t=30531
dong jia 	东家	c=2 d=1 t=302845
dong jian 	动件	c=1 d=1 t=144597
dong jian 	洞见	c=1 d=1 t=154172
dong jie 	冻结	c=4 d=1 t=317418
dong jing 	动静	c=3 d=1 t=136605
dong le 	懂了	c=3 d=1 t=222752
dong li 	动力	c=3 d=1 t=215196
dong lu 	东路	c=0 d=0.1 t=46109
dong n jun 	动嗯君	c=3 d=1 t=179770
dong nan 	东南	c=3 d=1 t=106712
dong nan ya 	东南亚	c=217 d=1.0006 t=342323
dong pin xi cou 	东拼西凑	c=1 d=1 t=42648
dong qi lai 	动起来	c=1 d=1 t=268264
dong sen 	动森	c=1 d=1 t=318056
dong shi zhang 	董事长	c=2 d=1 t=100559
dong shou 	动手	c=2 d=1 t=268151
dong si 	冻死	c=2 d=1 t=130185
dong tai 	动态	c=33 d=1 t=297897
dong tai hang 	动态行	c=2 d=1.84789 t=164298
dong tai yang 	董泰羊	c=38 d=1 t=323444
dong tian 	冬天	c=3 d=1 t=271435
dong wu 	动物	c=3 d=1.09802 t=295201
dong xi 	东西	c=122 d=1.00128 t=331245
dong yuan 	动员	c=1 d=1 t=268146
dong zhan 	东站	c=1 d=1 t=339099
dong zhe 	动辄	c=0 d=0.1 t=52007
dong zhe de jiu 	动辄得咎	c=1 d=1 t=52008
dong zhou 	董洲	c=8 d=1.91394 t=342149
dong zuo 	动作	c=82 d=1 t=330939
dou 	兜	c=3 d=1 t=313474
dou 	斗	c=1 d=0.00218749 t=345520
dou 	豆	c=0 d=0.1 t=92197
dou 	逗	c=1 d=1 t=327324
dou 	都	c=837 d=1.19545 t=345520
dou an 	都按	c=1 d=1 t=267077
dou ban 	豆瓣	c=2 d=1 t=168910
dou cheng 	都成	c=0 d=0.1 t=315661
dou de 	都得	c=1 d=1 t=88964
dou di 	兜底	c=4 d=1.09005 t=193048
dou di 	都底	c=1 d=1 t=140843
dou di zhong liang 	兜底重量	c=1 d=1 t=142368
dou dong 	抖动	c=1 d=1 t=308856
dou fu 	豆腐	c=4 d=1 t=326169
dou fu bao 	豆腐包	c=1 d=1 t=240600
dou gan 	豆干	c=1 d=1 t=267285
dou hao 	逗号	c=5 d=1.42528 t=344828
dou hao 	都好	c=1 d=1 t=107524
dou hui 	都会	c=31 d=1 t=341535
dou jiang 	豆浆	c=1 d=1 t=205527
dou jiao 	都叫	c=1 d=1 t=86620
dou ke yi 	都可以	c=1 d=1 t=116602
dou mei 	都没	c=1 d=1 t=32074
dou mei you 	都没有	c=2 d=1 t=330532
dou neng 	都能	c=8 d=1 t=307073
dou shi 	都是	c=181 d=0.98985 t=345520
dou shuo 	都说	c=1 d=1 t=132218
dou suan 	都算	c=1 d=1 t=340178
dou ting 	都听	c=1 d=1 t=199198
dou xiang 	都想	c=1 d=1 t=271382
dou xing 	都行	c=12 d=1 t=320406
dou xu 	都需	c=1 d=1 t=308077
dou yao 	都要	c=11 d=1.00076 t=236980
dou yin 	抖音	c=10 d=0.000162473 t=345520
dou ying 	都应	c=1 d=1 t=270324
dou yo 	都哟	c=1 d=1 t=179427
dou yong 	都用	c=2 d=1 t=232917
dou you 	都有	c=22 d=1 t=341114
dou zai 	都在	c=14 d=1 t=338088
du 	堵	c=2 d=0.0225956 t=345520
du 	度	c=482 d=2.07114 t=344192
du 	杜	c=2 d=1 t=43789
du 	毒	c=3 d=1 t=327960
du 	渡	c=3 d=1 t=251134
du 	独	c=0 d=0.1 t=300686
du 	读	c=72 d=1 t=342919
du chang 	赌场	c=0 d=1.07287e-05 t=345520
du chang 	都昌	c=1 d=1 t=64172
du cu 	督促	c=8 d=1 t=256756
du du 	嘟嘟	c=1 d=1 t=112114
du du 	读读	c=1 d=1 t=119363
du duo 	读多	c=1 d=1 t=25928
du fu 	杜甫	c=1 d=0.168638 t=345520
du guo 	度过	c=3 d=0.301194 t=345520
du hou 	度后	c=1 d=1 t=308962
du hou 	读后	c=1 d=1 t=308965
du hou gan 	读后感	c=1 d=1 t=308456
du ji 	妒忌	c=1 d=1 t=68072
du ku 	读库	c=7 d=1 t=119364
du li 	独立	c=30 d=1.00061 t=320083
du liang 	度量	c=9 d=1 t=305691
du liang zhi 	度量值	c=1 d=1 t=251073
du qu 	读取	c=38 d=1 t=319154
du ri 	度日	c=1 d=1 t=58926
du shi 	都市	c=0 d=0.1 t=59398
du shi ban 	都市版	c=1 d=1 t=59399
du shou kong fang 	独守空房	c=1 d=1 t=318045
du shu 	读书	c=48 d=0.00022263 t=345520
du suo 	读锁	c=2 d=1.97531 t=25847
du te 	独特	c=4 d=1 t=329413
du wan 	读完	c=2 d=0.00762477 t=345520
du xie 	读写	c=18 d=1 t=238742
du xie suo 	读写锁	c=1 d=1 t=24762
du yin 	读音	c=2 d=1 t=209554
du zhan 	独占	c=5 d=1.9802 t=290363
du zhi 	读至	c=1 d=0.00431784 t=345520
du zhu 	堵住	c=1 d=1 t=271033
du zi 	独自	c=4 d=1.0305 t=301401
du zi 	肚子	c=16 d=1 t=228419
du zi teng 	肚子疼	c=1 d=1 t=188823
duan 	断	c=6 d=1 t=250121
duan 	段	c=67 d=0.137381 t=345520
duan 	短	c=20 d=1 t=314199
duan 	端	c=159 d=1 t=344473
duan dao duan 	端到端	c=8 d=2.93785 t=35222
duan ding 	断定	c=1 d=1 t=7304
duan duan 	短短	c=1 d=1 t=17983
duan duan xu xu 	断断续续	c=1 d=0.00329615 t=345520
duan ju 	断句	c=1 d=1 t=188465
duan kai 	断开	c=4 d=1 t=195731
duan kou 	端口	c=24 d=0.257947 t=345520
duan ku 	短裤	c=1 d=1 t=187627
duan lian 	锻炼	c=3 d=1 t=236953
duan lie 	断裂	c=2 d=1 t=205885
duan lu qi 	断路器	c=1 d=1 t=35264
duan qi 	短期	c=2 d=0.1 t=218797
duan shi jian 	短时间	c=3 d=1 t=185043
duan xian 	短线	c=1 d=1 t=272659
duan xin 	短信	c=18 d=1 t=319989
duan xing 	端行	c=1 d=1 t=148073
duan yan 	断言	c=1 d=1 t=183112
duan zan 	短暂	c=2 d=1 t=326871
duan zhe 	端着	c=2 d=1 t=329489
duan zheng 	端正	c=3 d=1 t=297251
dui 	兑	c=12 d=1 t=310661
dui 	堆	c=10 d=1.9802 t=329235
dui 	对	c=892 d=0.731844 t=345520
dui 	怼	c=1 d=1 t=270321
dui 	队	c=5 d=0.0270665 t=345520
dui ba 	对吧	c=2 d=1 t=342458
dui ban 	对半	c=1 d=1 t=45447
dui bi 	对比	c=136 d=0.0645703 t=345520
dui bi hou 	对比后	c=1 d=1 t=315798
dui bu dui 	对不对	c=2 d=1 t=324634
dui bu qi 	对不起	c=1 d=1 t=111362
dui bu shang 	对不上	c=1 d=1 t=332412
dui bu zhu 	对不住	c=1 d=1 t=141434
dui cheng 	对称	c=1 d=1 t=114973
dui ci 	对此	c=2 d=1 t=151610
dui dai 	对待	c=5 d=1 t=308469
dui dang 	对档	c=1 d=1 t=336963
dui dao 	对到	c=1 d=1 t=241755
dui deng 	对等	c=1 d=1 t=291283
dui diao 	对调	c=1 d=1 t=14546
dui die tu 	堆叠图	c=1 d=1 t=301285
dui duan 	对端	c=1 d=1 t=34278
dui dui 	对对	c=3 d=1 t=213194
dui fang 	对方	c=24 d=1 t=342340
dui fu 	对付	c=5 d=1 t=335994
dui hua 	对话	c=7 d=1 t=333857
dui huan 	兑换	c=1 d=1 t=315744
dui ji 	堆积	c=2 d=1 t=301286
dui jie 	对接	c=145 d=1 t=343791
dui jie fang 	对接方	c=2 d=1.74826 t=116967
dui jie ren 	对接人	c=1 d=1 t=251485
dui kang 	对抗	c=2 d=1 t=279929
dui kou 	对口	c=1 d=1 t=345313
dui lie 	队列	c=23 d=2.34403 t=202617
dui ma 	对吗	c=2 d=1 t=341229
dui men 	对门	c=3 d=1 t=329479
dui mian 	对面	c=14 d=1 t=328331
dui ni 	对你	c=1 d=1 t=301737
dui qi 	对其	c=1 d=1 t=28617
dui qi 	对齐	c=67 d=1 t=338317
dui shang 	对上	c=4 d=1 t=298942
dui shi xiao 	对时效	c=1 d=1 t=167179
dui shou 	对手	c=2 d=1 t=192248
dui shu ju 	对数据	c=1 d=1 t=108317
dui ta 	对他	c=1 d=1 t=155035
dui tou 	对头	c=1 d=1 t=304518
dui wai 	对外	c=25 d=1 t=327698
dui wang 	对王	c=2 d=1 t=107455
dui wei 	对为	c=1 d=1 t=107354
dui wo 	对我	c=2 d=1 t=282269
dui wo men 	对我们	c=1 d=1 t=185119
dui wu 	队伍	c=1 d=1 t=46976
dui xian 	兑现	c=1 d=1 t=173636
dui xiang 	对象	c=198 d=0.128735 t=345520
dui xing 	队形	c=3 d=1 t=158973
dui yi 	对已	c=2 d=1 t=205246
dui yi xian an ji fen 	对乙酰氨基酚	c=1 d=1 t=281007
dui ying 	对应	c=478 d=1.90175 t=345262
dui you 	队友	c=1 d=1 t=32531
dui yu 	对于	c=180 d=1.00155 t=343286
dui yu ren 	对于人	c=1 d=1 t=303072
dui zhang 	对账	c=17 d=1 t=311352
dui zhang 	队长	c=2 d=0.00260584 t=345520
dui zhao 	对照	c=30 d=1 t=319907
dui zhao biao 	对照表	c=1 d=1 t=5376
dui zhe 	对折	c=1 d=1 t=203003
dui zhe 	对着	c=2 d=1 t=141430
dui zheng 	对症	c=1 d=1 t=280953
dun 	敦	c=2 d=1 t=262158
dun 	炖	c=1 d=1 t=125947
dun 	盾	c=1 d=1 t=252945
dun 	蹲	c=1 d=1 t=266802
dun 	顿	c=3 d=1 t=345356
dun fan 	顿饭	c=0 d=0.1 t=153986
dun huang 	敦煌	c=1 d=1 t=343077
dun shi 	顿时	c=1 d=1 t=329240
dun xiao 	墩小	c=1 d=1 t=105869
duo 	多	c=491 d=1.8027 t=345483
duo 	朵	c=1 d=1 t=48484
duo 	躲	c=4 d=1 t=329513
duo bi 	躲避	c=1 d=1 t=263467
duo bian 	多变	c=5 d=1 t=328365
duo bian xing 	多边形	c=6 d=3.80502 t=328372
duo ceng 	多层	c=1 d=1 t=29879
duo chang 	多长	c=5 d=1 t=284360
duo chu 	多出	c=4 d=1 t=129900
duo chu 	多处	c=1 d=1 t=247031
duo ci 	多次	c=20 d=1 t=299311
duo da 	多大	c=10 d=0.00215564 t=345520
duo dian 	多点	c=3 d=1 t=328368
duo duo 	多多	c=13 d=1 t=341351
duo duo 	朵朵	c=1 d=1 t=205562
duo fen 	多份	c=1 d=1 t=201771
duo ge 	多个	c=118 d=2.29064 t=344824
duo guo 	多国	c=37 d=1 t=336437
duo guo 	躲过	c=2 d=1 t=104548
duo hang 	多行	c=3 d=1 t=314018
duo hao 	多好	c=1 d=1 t=42655
duo he shui 	多喝水	c=2 d=1.00038 t=143021
duo ji 	多急	c=2 d=1 t=57746
duo ji 	多级	c=2 d=1 t=274229
duo jian 	多件	c=8 d=1 t=278445
duo jiao 	跺脚	c=0 d=0.1 t=147979
duo jie 	多节	c=2 d=1.99005 t=107499
duo jiu 	多久	c=24 d=1 t=344036
duo kuai 	多块	c=2 d=1 t=276173
duo le 	多了	c=1 d=1 t=260214
duo lie 	多列	c=3 d=2.82344 t=335881
duo ling yu 	多领域	c=1 d=1 t=97511
duo lun 	多论	c=1 d=1 t=54900
duo lun 	多轮	c=1 d=1 t=259594
duo mian 	多面	c=2 d=1 t=328374
duo nian 	多年	c=10 d=1 t=205671
duo nian lai 	多年来	c=1 d=1 t=276420
duo qi lai 	多起来	c=1 d=1 t=77231
duo ren 	多人	c=6 d=1.98971 t=232926
duo shao 	多少	c=112 d=0.0228006 t=345520
duo shao qian 	多少钱	c=9 d=1 t=339121
duo shi 	多时	c=1 d=1 t=136796
duo shu 	多数	c=12 d=1 t=340185
duo sui 	剁碎	c=1 d=1 t=268158
duo tian 	多天	c=2 d=1 t=283816
duo tiao 	多条	c=10 d=1 t=336578
duo wei 	多维	c=3 d=0.1 t=264945
duo wei biao 	多维表	c=1 d=1 t=264946
duo xian cheng 	多线程	c=4 d=1.90032 t=205452
duo xiang 	多项	c=3 d=1 t=257255
duo xie 	多谢	c=54 d=1 t=337825
duo xing 	惰性	c=1 d=1 t=162647
duo xuan 	多选	c=6 d=1 t=303057
duo yang 	多样	c=1 d=1 t=129830
duo yang xing 	多样性	c=1 d=1 t=300984
duo yi xie 	多一些	c=1 d=1 t=292088
duo you 	多有	c=2 d=1 t=300245
duo yu 	多余	c=4 d=1 t=204720
duo yu yan 	多语言	c=22 d=1.28792 t=320206
duo yuan 	多元	c=3 d=1 t=301825
duo yue 	多月	c=1 d=1 t=184047
duo yun 	多云	c=89 d=1 t=341549
duo zhi 	多值	c=1 d=1 t=206833
duo zhong 	多种	c=8 d=1 t=293975
duo zhong 	多钟	c=1 d=1 t=109089
duo zhua 	多抓	c=1 d=1 t=294270
e 	俄	c=1 d=1 t=22489
e 	呃	c=65 d=0.955997 t=345520
e 	扼	c=0 d=0.1 t=30814
e 	额	c=4 d=3.89704 t=331969
e 	饿	c=10 d=1 t=286897
e du 	额度	c=3 d=1 t=315301
e meng 	噩梦	c=2 d=1.96079 t=74881
e si 	饿死	c=1 d=1 t=131284
e wai 	额外	c=6 d=1 t=334855
e xin 	恶心	c=3 d=1 t=193456
e yi 	恶意	c=1 d=1 t=122030
e zhe 	饿着	c=1 d=1 t=76415
en 	嗯	c=265 d=1.14982 t=345520
en 	恩	c=1 d=6.09778e-05 t=345520
en dian 	恩典	c=1 d=1 t=34309
en en 	嗯嗯	c=20 d=1 t=260934
en ke 	嗯可	c=1 d=0.0478349 t=345520
en liang 	恩良	c=10 d=1 t=238456
er 	二	c=98 d=1.00175 t=329667
er 	儿	c=56 d=1.00001 t=344032
er 	尔	c=1 d=1 t=24971
er 	洱	c=1 d=1 t=52569
er 	而	c=280 d=0.00477195 t=345520
er bao 	儿保	c=1 d=1 t=175580
er bi hou 	耳鼻喉	c=1 d=1 t=175581
er bian 	耳边	c=1 d=1 t=205550
er bin 	尔滨	c=1 d=1 t=313574
er bu shi 	而不是	c=3 d=1 t=334712
er ceng 	二层	c=3 d=1.96079 t=259975
er cheng 	而成	c=2 d=1 t=344811
er ci 	二次	c=24 d=1 t=318571
er ci ren zheng 	二次认证	c=1 d=1 t=179871
er deng 	二等	c=1 d=1 t=265695
er dian 	而点	c=1 d=1 t=73184
er duan 	二段	c=2 d=1 t=235897
er duo 	耳朵	c=0 d=0.1 t=199207
er fei 	而非	c=2 d=1 t=123198
er fen 	二分	c=3 d=1.98511 t=102440
er guo 	贰过	c=1 d=1 t=312796
er hai 	洱海	c=1 d=1 t=52545
er ji 	二级	c=97 d=1 t=325731
er ji huan cun 	二级缓存	c=1 d=1 t=126317
er ji lei mu 	二级类目	c=1 d=1 t=275701
er jie 	二姐	c=5 d=1.01083 t=332592
er jin zhi 	二进制	c=11 d=1.956 t=328391
er ke 	儿科	c=3 d=1 t=281282
er lai 	而来	c=3 d=1 t=278172
er lang tui 	二郎腿	c=1 d=1 t=205553
er nian ji 	二年级	c=7 d=1.97708 t=218439
er nv 	儿女	c=2 d=1 t=321752
er qi 	二期	c=13 d=0.0792617 t=345520
er qie 	而且	c=96 d=1.01734 t=344274
er qie shi 	而且是	c=1 d=1 t=233315
er ran 	而然	c=1 d=1 t=343353
er shi 	二十	c=3 d=1 t=329332
er shi 	儿时	c=1 d=1 t=183031
er shi 	而是	c=17 d=0.000319102 t=345520
er shou 	二手	c=2 d=1 t=294321
er shou shu 	二手书	c=2 d=1 t=294318
er sun 	儿孙	c=2 d=1.99501 t=9772
er tong 	儿童	c=1 d=0.1 t=295202
er tong jie 	儿童节	c=5 d=1.04979 t=209526
er tong xiang 	儿童向	c=1 d=1 t=295203
er wei 	二位	c=1 d=1 t=85301
er wei ma 	二维码	c=2 d=1 t=188114
er xia 	而下	c=1 d=1 t=249899
er xuan yi 	二选一	c=1 d=1 t=324493
er yan 	而言	c=2 d=1 t=190369
er yi 	而已	c=23 d=1 t=313412
er yuan 	二元	c=2 d=1.96561 t=304039
er zhi 	而至	c=1 d=1 t=49463
er zhuang 	二幢	c=1 d=1 t=100778
er zi 	儿子	c=3 d=1 t=176256
fa 	发	c=332 d=1.81387 t=345520
fa 	法	c=25 d=0.0261447 t=345520
fa 	罚	c=6 d=1 t=333771
fa biao 	发表	c=3 d=1.13466 t=302003
fa bu 	发布	c=218 d=0.00411672 t=345520
fa bu dao 	发布到	c=1 d=1 t=321354
fa bu hao 	发布好	c=1 d=1 t=104192
fa cai 	发财	c=1 d=1 t=202711
fa che 	发车	c=99 d=1 t=284365
fa chu 	发出	c=6 d=1 t=259994
fa chu lai 	发出来	c=1 d=1 t=225501
fa dai 	发呆	c=1 d=1 t=155019
fa dai 	发带	c=1 d=1 t=192343
fa dao 	发到	c=3 d=1 t=292791
fa de 	发的	c=1 d=1 t=186843
fa diao 	发掉	c=1 d=1 t=189065
fa dong 	发动	c=1 d=1 t=308692
fa fang 	发放	c=6 d=1 t=58629
fa ge 	发个	c=2 d=1 t=341627
fa gei 	发给	c=5 d=1 t=326574
fa guang 	发光	c=1 d=1 t=228248
fa hui 	发回	c=1 d=1 t=25382
fa hui 	发挥	c=7 d=1 t=297194
fa huo 	发货	c=3 d=1 t=243902
fa jian 	发件	c=224 d=1 t=339116
fa jian n 	发件嗯	c=1 d=1 t=69509
fa jian ren 	发件人	c=3 d=1.43823 t=345370
fa jian xia 	发件下	c=1 d=1 t=156971
fa jiao 	发酵	c=2 d=1 t=327776
fa jue 	发掘	c=1 d=1 t=301686
fa kuan 	罚款	c=100 d=3.69257 t=344558
fa kuan xian shang hua 	罚款线上化	c=2 d=1.34301 t=268100
fa lai 	发来	c=1 d=1 t=305802
fa lan 	法兰	c=2 d=1.956 t=41475
fa leng 	发冷	c=1 d=1 t=255890
fa li 	发力	c=2 d=1 t=190151
fa lv 	法律	c=1 d=1 t=335962
fa nian 	发粘	c=1 d=1 t=332975
fa piao 	发票	c=1 d=1 t=46281
fa qi 	发起	c=61 d=1 t=342755
fa qi ren 	发起人	c=2 d=1 t=240887
fa re 	发热	c=1 d=1 t=228249
fa san 	发散	c=3 d=1 t=200444
fa shao 	发烧	c=15 d=1.0754 t=327751
fa sheng 	发生	c=91 d=1.9802 t=340173
fa song 	发送	c=96 d=1.21409 t=345520
fa sun 	发笋	c=1 d=1 t=181060
fa wang 	发往	c=2 d=1 t=122010
fa wei 	乏味	c=1 d=1 t=296422
fa wo 	发我	c=1 d=1 t=81638
fa xia 	罚下	c=3 d=1 t=38152
fa xian 	发现	c=239 d=0.00433945 t=345520
fa xian de 	发现的	c=1 d=1 t=153511
fa xing 	发型	c=1 d=1 t=165352
fa ya 	发芽	c=1 d=1 t=11325
fa yan 	发炎	c=4 d=1 t=127970
fa yan 	发言	c=1 d=1 t=302002
fa yi xia 	发一下	c=1 d=1 t=156699
fa yin 	发音	c=2 d=1 t=296434
fa you jian 	发邮件	c=1 d=1 t=238489
fa ze 	法则	c=2 d=1 t=166513
fa ze 	罚则	c=7 d=2.5301 t=246414
fa zhan 	发展	c=20 d=1.99503 t=325286
fa zhi 	法制	c=1 d=1 t=199142
fan 	反	c=23 d=1.00767 t=304058
fan 	帆	c=1 d=1 t=12551
fan 	犯	c=4 d=1 t=300131
fan 	畈	c=0 d=0.1 t=220701
fan 	番	c=2 d=1 t=150662
fan 	翻	c=12 d=1 t=336494
fan 	范	c=1 d=0.1 t=264108
fan 	返	c=2 d=1 t=253693
fan 	饭	c=50 d=1 t=345357
fan bei 	翻倍	c=1 d=1 t=336560
fan bian 	翻遍	c=2 d=0.00382958 t=345520
fan bo 	反驳	c=3 d=1 t=199262
fan bu 	反哺	c=1 d=1 t=301871
fan cai 	饭菜	c=4 d=1 t=327288
fan cha 	反查	c=3 d=1 t=116878
fan chou 	范畴	c=1 d=1 t=246930
fan chu 	泛出	c=1 d=1 t=329313
fan chuan 	帆船	c=7 d=2.87077 t=205604
fan cuo 	犯错	c=4 d=1 t=264693
fan dian 	饭店	c=1 d=1 t=203384
fan dou 	饭都	c=1 d=1 t=51949
fan duo 	繁多	c=1 d=1 t=220338
fan er 	反而	c=17 d=1 t=343335
fan er sai 	凡尔塞	c=1 d=1 t=68061
fan fan 	翻翻	c=4 d=1.99005 t=283239
fan fu 	反复	c=19 d=1 t=326910
fan fu gai 	反复改	c=1 d=1 t=149377
fan gang 	返岗	c=1 d=1 t=144936
fan gong 	返工	c=1 d=1 t=166068
fan guo 	翻过	c=1 d=1 t=122509
fan guo lai 	反过来	c=10 d=1 t=322743
fan hui 	返回	c=141 d=1 t=343904
fan hui lai 	返回来	c=1 d=1 t=291364
fan ji 	反击	c=2 d=1.83527 t=46060
fan jia 	饭加	c=1 d=1 t=317921
fan ju 	饭局	c=1 d=1 t=64925
fan ka 	饭卡	c=2 d=1.94649 t=10313
fan kai 	翻开	c=1 d=1 t=271356
fan kuan 	返款	c=2 d=1.00002 t=121968
fan kui 	反馈	c=564 d=1.67954 t=345520
fan kui cai ji 	反馈采集	c=1 d=1 t=284976
fan kui ren 	反馈人	c=1 d=1 t=317852
fan kui wen ti 	反馈问题	c=1 d=0.429557 t=345520
fan le 	翻了	c=0 d=0.1 t=41977
fan li 	返利	c=1 d=1 t=283902
fan long qing 	范龙青	c=5 d=2.42144 t=339619
fan mang 	繁忙	c=6 d=1.15788 t=57856
fan mang du 	繁忙度	c=2 d=1.00052 t=58745
fan mian 	反面	c=1 d=1 t=195114
fan nao 	烦恼	c=4 d=1 t=252977
fan pan 	饭盘	c=1 d=1 t=329429
fan piao 	饭票	c=1 d=1 t=5639
fan qi 	泛起	c=1 d=1 t=329172
fan qian 	饭前	c=1 d=1 t=203694
fan qie 	番茄	c=3 d=0.100032 t=306177
fan qie chao dan 	番茄炒蛋	c=1 d=1 t=306178
fan qing 	烦请	c=1 d=1 t=40176
fan ren 	凡人	c=12 d=1.00159 t=339844
fan ren xiu xian 	凡人修仙	c=1 d=1 t=318533
fan ren xiu xian zhuan 	凡人修仙传	c=1 d=1 t=318528
fan sha 	反杀	c=1 d=1 t=292410
fan shi 	凡事	c=1 d=1 t=51798
fan shi 	范式	c=3 d=1 t=111150
fan si 	反思	c=3 d=1 t=52011
fan suan 	返酸	c=1 d=1 t=281239
fan suo 	繁琐	c=4 d=1 t=344550
fan tan 	反弹	c=1 d=1 t=205110
fan tang 	饭堂	c=1 d=1 t=271219
fan wan 	饭碗	c=2 d=1 t=68042
fan wei 	范围	c=97 d=1 t=332857
fan wen 	反问	c=4 d=1 t=113624
fan xia 	犯下	c=1 d=1 t=32488
